medicine,toxicity_level,disposal,compost_safe,warnings
Paracetamol Tablet,Low,Return to pharmacy,No,Disrupts soil microbes if composted.
Paracetamol XL,Low,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Paracetamol Tab,Medium,Safe landfill,No,Toxic if released into groundwater.
Paracetamol XL,High,Do not flush. Incinerate,Yes,Disrupts soil microbes if composted.
Paracetamol 100mg,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
Paracetamol Tab,High,Do not flush. Incinerate,No,Disrupts soil microbes if composted.
Paracetamol Oral,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 500mg,Medium,Safe landfill,No,Toxic if released into groundwater.
Paracetamol 500mg,Low,Return to pharmacy,Yes,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Capsule,High,Return to pharmacy,No,Toxic if released into groundwater.
Paracetamol 250mg,Medium,Eco-bin drop-off,Yes,Can enter waterways through improper disposal.
Paracetamol Cap,Low,Do not flush. Incinerate,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol Tablet,Low,Eco-bin drop-off,No,Eco-hazardous if mixed with household waste.
Paracetamol SR,Medium,Eco-bin drop-off,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol 100mg,High,Eco-bin drop-off,Yes,Disrupts soil microbes if composted.
Paracetamol Oral,Low,Return to pharmacy,No,Can enter waterways through improper disposal.
Paracetamol 500mg,Low,Return to pharmacy,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol Oral,Low,Eco-bin drop-off,No,Disrupts soil microbes if composted.
Paracetamol 100mg,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Paracetamol 250mg,High,Do not flush. Incinerate,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol Oral,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Paracetamol SR,High,Safe landfill,No,Can enter waterways through improper disposal.
Paracetamol 100mg,High,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Paracetamol SR,Medium,Hazardous waste treatment,No,Eco-hazardous if mixed with household waste.
Paracetamol Capsule,Low,Hazardous waste treatment,Yes,Harmful to aquatic life.
Paracetamol Oral,Low,Hazardous waste treatment,No,Can enter waterways through improper disposal.
Paracetamol SR,High,Eco-bin drop-off,Yes,Should be incinerated to avoid soil contamination.
Paracetamol 250mg,Low,Safe landfill,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol SR,High,Hazardous waste treatment,Yes,Dispose carefully to avoid antibiotic resistance.
Paracetamol Tab,High,Hazardous waste treatment,No,Harmful to aquatic life.
Paracetamol Cap,Low,Return to pharmacy,Yes,Disrupts soil microbes if composted.
Paracetamol SR,Low,Safe landfill,Yes,Eco-hazardous if mixed with household waste.
Paracetamol Capsule,Medium,Do not flush. Incinerate,No,Avoid flushing. Dispose in eco-safe bins.
Paracetamol Cap,Medium,Hazardous waste treatment,No,Dispose carefully to avoid antibiotic resistance.
Paracetamol 100mg,Low,Safe landfill,No,Eco-hazardous if mixed with household waste.
Paracetamol Capsule,Medium,Safe landfill,No,Eco-hazardous if mixed with household waste.
Paracetamol 500mg,High,Hazardous waste treatment,No,Disrupts soil microbes if composted.
Paracetamol XL,Medium,Do not flush. Incinerate,Yes,Toxic if released into groundwater.
Paracetamol 100mg,Medium,Safe landfill,Yes,Toxic if released into groundwater.
Paracetamol Cap,Medium,Return to pharmacy,No,Eco-hazardous if mixed with household waste.
Paracetamol Cap,Low,Hazardous waste treatment,Yes,Can enter waterways through improper disposal.
Paracetamol 500mg,High,Do not flush. Incinerate,Yes,Should be incinerated to avoid soil contamination.
Paracetamol Tablet,Medium,Return to pharmacy,No,Harmful to aquatic life.
Paracetamol XL,Low,Eco-bin drop-off,Yes,Harmful to aquatic life.
Paracetamol SR,High,Do not flush. Incinerate,No,Eco-hazardous if mixed with household waste.
Paracetamol SR,Low,Hazardous waste treatment,No,Should be incinerated to avoid soil contamination.
